Number,Gender,Title,GivenName,Surname,StreetAddress,City,State,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,TelephoneCountryCode,Birthday,NationalID,Occupation,Company,GUID
1,male,Mr.,Mitchell,Corrie,"78 Endeavour Drive",BOSTON,SA,"South Australia",5607,Australia,MitchellCorrie@teleworm.us,"(08) 8710 5122",61,2/1/1982,,"Commercial diver","Muscle Factory",a0f0bc16-592e-4060-924b-16cb9e1f8382
2,male,Mr.,Kai,Nuttall,"62 Moores Drive","BROADWAY NEDLANDS",WA,"Western Australia",6009,Australia,KaiNuttall@jourrapide.com,"(08) 9231 4638",61,6/29/1972,,"Custodial worker","Wealthy Ideas",616e0803-8a32-4a21-9477-760cb8f0179a
3,female,Mrs.,Paige,Mulley,"57 Duff Street",KUNUNOPPIN,WA,"Western Australia",6489,Australia,PaigeMulley@cuvox.de,"(08) 9091 9711",61,2/27/1942,,"Property custodian",Edwards,26276aae-9197-4e0c-9fb2-1b595bad73ab
4,male,Mr.,Joshua,Corey,"76 Church Street",BUCKINGHAM,SA,"South Australia",5270,Australia,JoshuaCorey@armyspy.com,"(08) 8702 9798",61,5/2/1958,,"Personnel training officer","Thrift Auto Parts",965c27c3-3589-4731-966a-189ea66d0fca
5,male,Mr.,Jacob,Helena,"52 Holthouse Road",WOODSIDE,SA,"South Australia",5244,Australia,JacobHelena@teleworm.us,"(08) 8281 0649",61,11/23/1939,,Geoscientist,"Jackpot Consultant",ebfecc56-91ac-4d1d-98ac-f1c9a4d529d0
6,female,Dr.,Kayla,Budd,"15 Normans Road",CULLA,VIC,Victoria,3315,Australia,KaylaBudd@superrito.com,"(03) 5353 3980",61,3/30/1968,,"Taxicab dispatcher","Golf Augusta Pro Shops",57966641-58ff-4270-a078-6ab0fe6a31ce
7,female,Ms.,Evie,McMinn,"2 Avondale Drive",TARRAWANNA,NSW,"New South Wales",2518,Australia,EvieMcMinn@jourrapide.com,"(02) 4225 9480",61,6/21/1969,,"Media director","Magna Architectural Design",1ee7ba1a-0da8-4194-8a4b-ee98081fb168
8,female,Mrs.,Mary,Penfold,"47 Little Myers Street",BALLIANG,VIC,Victoria,3340,Australia,MaryPenfold@armyspy.com,"(03) 8478 6206",61,7/11/1967,,"Benefits clerk","Quality Realty Service",a4ea8f33-2ebc-4e83-9f19-49e04f55fd06
9,female,Mrs.,Stella,Toosey,"98 Sale Street",SHADFORTH,NSW,"New South Wales",2800,Australia,StellaToosey@superrito.com,"(02) 4043 9833",61,6/12/2000,,Florist,"The Independent Planners",286dfec7-751a-43c0-a06f-adfa5dc1ddd5
10,female,Mrs.,Anna,Rydge,"71 Walters Street","UPPER LURG",VIC,Victoria,3673,Australia,AnnaRydge@rhyta.com,"(03) 5371 7019",61,4/21/1970,,"Amusement and recreation attendant","Independent Investors",6e74df5f-c2dc-4509-bb2a-e3c066f2c3ee
11,female,Ms.,Mackenzie,Littler,"66 Plantation Place","BOX RIDGE",NSW,"New South Wales",2795,Australia,MackenzieLittler@einrot.com,"(02) 4022 3211",61,5/15/2000,,"Job analyst","Hughes Markets",80adfdb0-b851-4787-b0f3-174470941fbb
12,male,Mr.,Zane,Glasgow,"15 Scenic Road",DALGETY,NSW,"New South Wales",2628,Australia,ZaneGlasgow@superrito.com,"(02) 6190 3782",61,5/22/1997,,"Civil engineer",Strongbod,4da3682d-73e9-4940-b3a1-ced00b39c077
13,female,Ms.,Abbey,Caffyn,"34 Pipeclay Road","LOWER PAPPINBARRA",NSW,"New South Wales",2446,Australia,AbbeyCaffyn@superrito.com,"(02) 6747 8281",61,7/20/1973,,"Soil conservationist","Purity Supreme",af5a41ef-a421-46e3-836a-d3dc268a805c
14,male,Mr.,Patrick,Kippax,"95 Derry Street",PETRIE,QLD,Queensland,4502,Australia,PatrickKippax@gustr.com,"(07) 3097 8874",61,9/2/1940,,"Field technician","Gene Walter's Marketplace",923a3dd8-63da-4492-b843-c60e910d2570
15,male,Mr.,Toby,Bamford,"65 Dossiter Street",OATLANDS,TAS,Tasmania,7120,Australia,TobyBamford@gustr.com,"(03) 6204 4724",61,9/17/1994,,Newscaster,Musicland,f3360f4d-33f9-4d85-9f98-2d6a8ad77907
16,male,Mr.,Adam,Lillie,"54 Eshelby Drive","THURINGOWA CENTRAL",QLD,Queensland,4817,Australia,AdamLillie@cuvox.de,"(07) 4004 8229",61,10/12/1965,,"Social and community service manager","Cut Rite Lawn Care",387c26ab-8ec1-419d-b2e7-8077e22728b7
17,male,Mr.,Lucas,Whitta,"5 Black Point Drive",WHYALLA,SA,"South Australia",5600,Australia,LucasWhitta@einrot.com,"(08) 8710 0853",61,12/4/1990,,"Desk clerk","Twin Food Stores",3dd881b7-3592-460b-9e09-5dd25e71734f
18,male,Mr.,Harrison,Corran,"73 Cornish Street",CHARTWELL,VIC,Victoria,3030,Australia,HarrisonCorran@armyspy.com,"(03) 8031 4497",61,12/3/1980,,"Staffing coordinator","Buena Vista Realty Service",505aebc5-d8db-4f71-94ee-2616b8075b24
19,female,Ms.,Kaitlyn,Crommelin,"76 Rockhampton Qld",PARKHURST,QLD,Queensland,4702,Australia,KaitlynCrommelin@armyspy.com,"(07) 4909 1099",61,2/19/1971,,"Business administrator","G.I. Joe's",02235f21-2d55-4477-bef5-629882926f66
20,male,Mr.,Matthew,Pinner,"15 Walder Crescent",FERNLEES,QLD,Queensland,4702,Australia,MatthewPinner@einrot.com,"(07) 4914 5245",61,10/7/1971,,"Management development specialist","Galaxy Man",a8ca4e93-7c2b-4b5f-9ff8-5fdf00e579f2
21,female,Mrs.,Emily,Joubert,"22 Sale Street",LUCKNOW,NSW,"New South Wales",2800,Australia,EmilyJoubert@einrot.com,"(02) 4059 5326",61,6/13/1955,,"Guitar repairer","Cardinal Stores",5e8a2ff2-cfc3-49aa-a82b-58bb2eea28cb
22,female,Mrs.,Isabelle,Slade,"99 Avondale Drive",DAPTO,NSW,"New South Wales",2530,Australia,IsabelleSlade@fleckens.hu,"(02) 4297 4257",61,5/23/2000,,"Electrical drafter","Red Robin Stores",a2b077ca-a4e3-4460-9794-8ba81cbfac6b
23,male,Mr.,Joshua,Blanch,"82 Brown Street",LEWISHAM,NSW,"New South Wales",2049,Australia,JoshuaBlanch@einrot.com,"(02) 9358 6601",61,11/6/1976,,"Personnel assistant",HouseWorks!,10843ca5-f712-44d6-b6c4-f07556e0713a
24,female,Mrs.,Indiana,Thurgood,"75 Avondale Drive",BELLAMBI,NSW,"New South Wales",2518,Australia,IndianaThurgood@teleworm.us,"(02) 4260 2595",61,5/28/1997,,"Layout artist","Olson's Market",54b71c3e-5733-456d-86e8-8b9e1bf356f6
25,male,Mr.,Ashton,Mobsby,"53 Foreshore Road","MIDDLE SWAN",WA,"Western Australia",6056,Australia,AshtonMobsby@jourrapide.com,"(08) 8360 7638",61,3/25/1964,,"Mixing and blending machine setter",Hoyden,57efdec2-860a-4258-bc95-7574457e275f
26,male,Mr.,Ryder,Laby,"84 Adavale Road","BAW BAW",NSW,"New South Wales",2580,Australia,RyderLaby@rhyta.com,"(02) 6195 9623",61,6/1/1993,,Biographer,"Robinson Furniture",4d644d43-9bb1-47a1-ba56-517d91fd79b4
